사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021072100100261,2021년 7월 21일 12시,수요일,충청남도 천안시 동남구 병천면,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,여,51세,경상
2021072100100263,2021년 7월 21일 12시,수요일,충청남도 천안시 서북구 입장면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,기타 - 기타,화물,남,60세,상해없음,승용,남,28세,경상
2021072100100296,2021년 7월 21일 13시,수요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,기타 - 기타,승용,여,34세,상해없음,승용,여,50세,경상
2021072100100301,2021년 7월 21일 13시,수요일,충청남도 천안시 동남구 청당동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,56세,상해없음,승용,남,30세,경상
2021072100100370,2021년 7월 21일 15시,수요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,기타,기타 - 기타,승용,여,69세,상해없음,보행자,남,11세,경상
2021072100100371,2021년 7월 21일 15시,수요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,61세,경상,승용,남,45세,경상
2021072100100372,2021년 7월 21일 15시,수요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,48세,상해없음,승용,여,26세,경상
2021072100100421,2021년 7월 21일 16시,수요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,승용,여,21세,경상
2021072100100568,2021년 7월 21일 19시,수요일,충청남도 천안시 서북구 성정동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,23세,상해없음,승용,여,36세,경상
2021072200100095,2021년 7월 22일 08시,목요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,57세,기타불명,승용,여,28세,경상
2021072200100161,2021년 7월 22일 10시,목요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,승용,여,44세,경상
2021072200100237,2021년 7월 22일 12시,목요일,충청남도 천안시 서북구 백석동,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,44세,경상
2021072200100274,2021년 7월 22일 13시,목요일,충청남도 천안시 동남구 삼룡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,69세,상해없음,승용,여,51세,경상
2021072200100361,2021년 7월 22일 15시,목요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,기타불명,보행자,남,10세,경상
2021072200100403,2021년 7월 22일 16시,목요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,여,54세,경상
2021072200100448,2021년 7월 22일 17시,목요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,24세,상해없음,승용,여,60세,경상
2021072200100536,2021년 7월 22일 19시,목요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대사람 - 보도통행중,신호위반,건조,맑음,단일로 - 기타,승용,여,45세,상해없음,보행자,여,45세,경상
2021072200100576,2021년 7월 22일 20시,목요일,충청남도 천안시 동남구 신부동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,이륜,남,40세,경상
2021072200100628,2021년 7월 22일 22시,목요일,충청남도 천안시 동남구 구성동,경상사고,0,0,5,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,34세,경상,승용,남,29세,경상
2021072200100629,2021년 7월 22일 22시,목요일,충청남도 천안시 동남구 구성동,중상사고,0,2,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,남,55세,경상
2021072300100057,2021년 7월 23일 07시,금요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,44세,상해없음,승용,남,32세,경상
2021072300100092,2021년 7월 23일 08시,금요일,충청남도 천안시 동남구 문화동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,25세,상해없음,승합,남,56세,경상
