"사고다발지FID","사고다발지ID","법정동코드","지점코드","시도시군구명","지점명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
6773972,"2022032","1114016500","11140004  ","서울특별시 중구4","서울특별시 중구 황학동(기업은행성동지점 부근)",4,6,0,5,1,0,127.0225063354,37.56538071345,"{""type"":""Polygon"",""coordinates"":[[[127.02340465,37.56538071],[127.02338739,37.5652418],[127.02333627,37.56510822],[127.02325326,37.56498511],[127.02314154,37.56487721],[127.02300541,37.56478866],[127.02285011,37.56472286],[127.02268159,37.56468234],[127.02250634,37.56466865],[127.02233108,37.56468234],[127.02216257,37.56472286],[127.02200726,37.56478866],[127.02187113,37.56487721],[127.02175941,37.56498511],[127.0216764,37.56510822],[127.02162528,37.5652418],[127.02160802,37.56538071],[127.02162528,37.56551963],[127.0216764,37.56565321],[127.02175941,37.56577631],[127.02187113,37.56588421],[127.02200726,37.56597276],[127.02216257,37.56603857],[127.02233108,37.56607909],[127.02250634,37.56609277],[127.02268159,37.56607909],[127.02285011,37.56603857],[127.02300541,37.56597276],[127.02314154,37.56588421],[127.02325326,37.56577631],[127.02333627,37.56565321],[127.02338739,37.56551963],[127.02340465,37.56538071]]]}"
6773995,"2022032","1114013400","11140005  ","서울특별시 중구5","서울특별시 중구 인현동2가(중구청앞교차로 부근)",4,7,0,5,0,2,126.998280067172,37.564559165674,"{""type"":""Polygon"",""coordinates"":[[[126.99917838,37.56455917],[126.99916112,37.56442025],[126.99911,37.56428667],[126.99902699,37.56416356],[126.99891527,37.56405566],[126.99877914,37.5639671],[126.99862384,37.5639013],[126.99845532,37.56386078],[126.99828007,37.5638471],[126.99810481,37.56386078],[126.9979363,37.5639013],[126.99778099,37.5639671],[126.99764486,37.56405566],[126.99753315,37.56416356],[126.99745013,37.56428667],[126.99739901,37.56442025],[126.99738175,37.56455917],[126.99739901,37.56469808],[126.99745013,37.56483166],[126.99753315,37.56495477],[126.99764486,37.56506267],[126.99778099,37.56515122],[126.9979363,37.56521702],[126.99810481,37.56525755],[126.99828007,37.56527123],[126.99845532,37.56525755],[126.99862384,37.56521702],[126.99877914,37.56515122],[126.99891527,37.56506267],[126.99902699,37.56495477],[126.99911,37.56483166],[126.99916112,37.56469808],[126.99917838,37.56455917]]]}"
6773802,"2022032","1114016200","11140006  ","서울특별시 중구6","서울특별시 중구 신당동(흥인초등학교 부근)",4,7,0,4,2,1,127.014379544282,37.561381631558,"{""type"":""Polygon"",""coordinates"":[[[127.01527786,37.56138163],[127.0152606,37.56124271],[127.01520948,37.56110912],[127.01512647,37.56098601],[127.01501475,37.5608781],[127.01487862,37.56078954],[127.01472331,37.56072374],[127.0145548,37.56068322],[127.01437954,37.56066953],[127.01420429,37.56068322],[127.01403577,37.56072374],[127.01388047,37.56078954],[127.01374434,37.5608781],[127.01363262,37.56098601],[127.01354961,37.56110912],[127.01349849,37.56124271],[127.01348123,37.56138163],[127.01349849,37.56152055],[127.01354961,37.56165414],[127.01363262,37.56177725],[127.01374434,37.56188516],[127.01388047,37.56197371],[127.01403577,37.56203952],[127.01420429,37.56208004],[127.01437954,37.56209372],[127.0145548,37.56208004],[127.01472331,37.56203952],[127.01487862,37.56197371],[127.01501475,37.56188516],[127.01512647,37.56177725],[127.01520948,37.56165414],[127.0152606,37.56152055],[127.01527786,37.56138163]]]}"
6773922,"2022032","1114016200","11140007  ","서울특별시 중구7","서울특별시 중구 신당동(신당빌딩 부근)",4,6,0,4,2,0,127.015498939426,37.563369198031,"{""type"":""Polygon"",""coordinates"":[[[127.01639725,37.5633692],[127.01637999,37.56323028],[127.01632887,37.5630967],[127.01624586,37.56297359],[127.01613414,37.56286568],[127.01599802,37.56277713],[127.01584271,37.56271132],[127.01567419,37.5626708],[127.01549894,37.56265712],[127.01532369,37.5626708],[127.01515517,37.56271132],[127.01499986,37.56277713],[127.01486373,37.56286568],[127.01475202,37.56297359],[127.014669,37.5630967],[127.01461789,37.56323028],[127.01460062,37.5633692],[127.01461789,37.56350812],[127.014669,37.5636417],[127.01475202,37.56376481],[127.01486373,37.56387271],[127.01499986,37.56396127],[127.01515517,37.56402707],[127.01532369,37.56406759],[127.01549894,37.56408127],[127.01567419,37.56406759],[127.01584271,37.56402707],[127.01599802,37.56396127],[127.01613414,37.56387271],[127.01624586,37.56376481],[127.01632887,37.5636417],[127.01637999,37.56350812],[127.01639725,37.5633692]]]}"
6773495,"2022032","1114014700","11140008  ","서울특별시 중구8","서울특별시 중구 쌍림동(퇴계로5가사거리 부근)",4,6,0,4,2,0,127.002589927784,37.563495785703,"{""type"":""Polygon"",""coordinates"":[[[127.00348824,37.56349579],[127.00347098,37.56335687],[127.00341986,37.56322329],[127.00333685,37.56310018],[127.00322513,37.56299227],[127.00308901,37.56290371],[127.0029337,37.56283791],[127.00276518,37.56279739],[127.00258993,37.56278371],[127.00241468,37.56279739],[127.00224616,37.56283791],[127.00209085,37.56290371],[127.00195472,37.56299227],[127.00184301,37.56310018],[127.00175999,37.56322329],[127.00170887,37.56335687],[127.00169161,37.56349579],[127.00170887,37.5636347],[127.00175999,37.56376828],[127.00184301,37.56389139],[127.00195472,37.5639993],[127.00209085,37.56408785],[127.00224616,37.56415365],[127.00241468,37.56419418],[127.00258993,37.56420786],[127.00276518,37.56419418],[127.0029337,37.56415365],[127.00308901,37.56408785],[127.00322513,37.5639993],[127.00333685,37.56389139],[127.00341986,37.56376828],[127.00347098,37.5636347],[127.00348824,37.56349579]]]}"
6774011,"2022032","1114014400","11140009  ","서울특별시 중구9","서울특별시 중구 장충동2가(장충체육관앞 부근)",4,6,0,4,2,0,127.005333587576,37.559541379432,"{""type"":""Polygon"",""coordinates"":[[[127.0062319,37.55954138],[127.00621464,37.55940245],[127.00616352,37.55926887],[127.00608051,37.55914575],[127.00596879,37.55903784],[127.00583266,37.55894928],[127.00567736,37.55888347],[127.00550884,37.55884295],[127.00533359,37.55882926],[127.00515833,37.55884295],[127.00498982,37.55888347],[127.00483451,37.55894928],[127.00469838,37.55903784],[127.00458667,37.55914575],[127.00450365,37.55926887],[127.00445253,37.55940245],[127.00443527,37.55954138],[127.00445253,37.55968031],[127.00450365,37.55981389],[127.00458667,37.55993701],[127.00469838,37.56004492],[127.00483451,37.56013348],[127.00498982,37.56019928],[127.00515833,37.56023981],[127.00533359,37.56025349],[127.00550884,37.56023981],[127.00567736,37.56019928],[127.00583266,37.56013348],[127.00596879,37.56004492],[127.00608051,37.55993701],[127.00616352,37.55981389],[127.00621464,37.55968031],[127.0062319,37.55954138]]]}"
6773905,"2022032","1114012200","11140010  ","서울특별시 중구10","서울특별시 중구 회현동2가(회현동2가11 부근)",4,5,0,4,1,0,126.982455598248,37.560524926585,"{""type"":""Polygon"",""coordinates"":[[[126.98335391,37.56052493],[126.98333665,37.560386],[126.98328553,37.56025242],[126.98320252,37.5601293],[126.9830908,37.56002139],[126.98295468,37.55993283],[126.98279937,37.55986703],[126.98263085,37.5598265],[126.9824556,37.55981282],[126.98228035,37.5598265],[126.98211183,37.55986703],[126.98195652,37.55993283],[126.98182039,37.56002139],[126.98170868,37.5601293],[126.98162566,37.56025242],[126.98157454,37.560386],[126.98155728,37.56052493],[126.98157454,37.56066385],[126.98162566,37.56079744],[126.98170868,37.56092055],[126.98182039,37.56102846],[126.98195652,37.56111702],[126.98211183,37.56118282],[126.98228035,37.56122334],[126.9824556,37.56123703],[126.98263085,37.56122334],[126.98279937,37.56118282],[126.98295468,37.56111702],[126.9830908,37.56102846],[126.98320252,37.56092055],[126.98328553,37.56079744],[126.98333665,37.56066385],[126.98335391,37.56052493]]]}"
6773842,"2022032","1114017400","11140011  ","서울특별시 중구11","서울특별시 중구 만리동2가(만리시장 부근)",4,4,0,4,0,0,126.962815888643,37.551964530939,"{""type"":""Polygon"",""coordinates"":[[[126.9637142,37.55196453],[126.96369694,37.55182559],[126.96364582,37.55169199],[126.96356281,37.55156886],[126.96345109,37.55146094],[126.96331497,37.55137237],[126.96315966,37.55130655],[126.96299114,37.55126603],[126.96281589,37.55125234],[126.96264064,37.55126603],[126.96247212,37.55130655],[126.96231681,37.55137237],[126.96218068,37.55146094],[126.96206897,37.55156886],[126.96198595,37.55169199],[126.96193483,37.55182559],[126.96191757,37.55196453],[126.96193483,37.55210347],[126.96198595,37.55223707],[126.96206897,37.5523602],[126.96218068,37.55246812],[126.96231681,37.55255669],[126.96247212,37.5526225],[126.96264064,37.55266303],[126.96281589,37.55267671],[126.96299114,37.55266303],[126.96315966,37.5526225],[126.96331497,37.55255669],[126.96345109,37.55246812],[126.96356281,37.5523602],[126.96364582,37.55223707],[126.96369694,37.55210347],[126.9637142,37.55196453]]]}"
6774018,"2022032","1114016200","11140012  ","서울특별시 중구12","서울특별시 중구 신당동(약수역앞교차로 부근)",4,4,0,4,0,0,127.010577109947,37.554155135552,"{""type"":""Polygon"",""coordinates"":[[[127.01147543,37.55415514],[127.01145816,37.5540162],[127.01140705,37.5538826],[127.01132403,37.55375948],[127.01121231,37.55365156],[127.01107619,37.55356299],[127.01092088,37.55349718],[127.01075236,37.55345665],[127.01057711,37.55344297],[127.01040186,37.55345665],[127.01023334,37.55349718],[127.01007803,37.55356299],[127.00994191,37.55365156],[127.00983019,37.55375948],[127.00974717,37.5538826],[127.00969606,37.5540162],[127.00967879,37.55415514],[127.00969606,37.55429407],[127.00974717,37.55442767],[127.00983019,37.55455079],[127.00994191,37.55465871],[127.01007803,37.55474728],[127.01023334,37.55481309],[127.01040186,37.55485361],[127.01057711,37.5548673],[127.01075236,37.55485361],[127.01092088,37.55481309],[127.01107619,37.55474728],[127.01121231,37.55465871],[127.01132403,37.55455079],[127.01140705,37.55442767],[127.01145816,37.55429407],[127.01147543,37.55415514]]]}"
6773959,"2022032","1114015300","11140013  ","서울특별시 중구13","서울특별시 중구 방산동(버들다리남측 부근)",4,4,0,4,0,0,127.005947437825,37.5694587792,"{""type"":""Polygon"",""coordinates"":[[[127.00684575,37.56945878],[127.00682849,37.56931987],[127.00677737,37.5691863],[127.00669436,37.5690632],[127.00658264,37.5689553],[127.00644652,37.56886676],[127.00629121,37.56880096],[127.00612269,37.56876044],[127.00594744,37.56874676],[127.00577219,37.56876044],[127.00560367,37.56880096],[127.00544836,37.56886676],[127.00531223,37.5689553],[127.00520052,37.5690632],[127.0051175,37.5691863],[127.00506638,37.56931987],[127.00504912,37.56945878],[127.00506638,37.56959769],[127.0051175,37.56973126],[127.00520052,37.56985435],[127.00531223,37.56996225],[127.00544836,37.5700508],[127.00560367,37.5701166],[127.00577219,37.57015711],[127.00594744,37.57017079],[127.00612269,37.57015711],[127.00629121,37.5701166],[127.00644652,37.5700508],[127.00658264,37.56996225],[127.00669436,37.56985435],[127.00677737,37.56973126],[127.00682849,37.56959769],[127.00684575,37.56945878]]]}"
