번호,관리기관명(필수),도로명주소(필수),주소(선택),설치목적구분(필수),위도(필수),경도(필수),카메라 대수(필수),카메라화소수(선택),촬영방면정보(선택),보관일수(선택),설치연월(선택),관리기관전화번호(선택),데이터기준일자(필수),관리번호(임의),카메라명(임의),설치목적구분상세(임의),"개소별
대역폭(임의)",통신망(임의)
94,천안시,,충청남도 천안시 동남구 삼용동 292-1,,36.784418,127.167639,4,,,,,,,E16P145-15,E16P145-15_1_삼용동 292-1(삼거리공원7)_PTZ,방범(도시공원),10M,KT
95,천안시,,충청남도 천안시 동남구 청수동 270,,36.787774,127.148978,3,,,,,,,E16P158-15,E16P158-15_1_청수동 270(청수2공원1)_PTZ,방범(도시공원),10M,KT
96,천안시,,충청남도 천안시 동남구 청수동 270,,36.786856,127.148479,3,,,,,,,E16P159-15,E16P159-15_1_청수동 270(청수2공원2)_PTZ,방범(도시공원),10M,KT
97,천안시,,충청남도 천안시 동남구 신부동 453-1,,36.818031,127.153506,4,,,,,,,E17P001-13,E17P001-13_1_신부동 453-1(신부5공원)_PTZ,방범(도시공원),10M,KT
98,천안시,,충청남도 천안시 동남구 신부동 815,,36.819464,127.15879,3,,,,,,,E17P001-16,E17P001-16_1_신부동 815(신부공원1)_PTZ ,방범(도시공원),10M,KT
99,천안시,,충청남도 천안시 동남구 신부동 125,,36.823739,127.16145,4,,,,,,,E17P001-17,E17P001-17_1_신부동 125(도솔광장내)_PTZ,방범(도시공원),10M,KT
100,천안시,,충청남도 천안시 동남구 안서동 212-2,,36.828354,127.185437,3,,,,,,,E17P001-19,E17P001-19_1_안서동 212-2(안서3어린이공원)_PTZ,방범(도시공원),-,CCTV 자가망
101,천안시,,충청남도 천안시 동남구 성황동 12-1,,36.817184,127.150131,4,,,,,,,E17P002-13,E17P002-13_1_성황동 12-1(두성맨션)_PTZ,방범(도시공원),10M,KT
102,천안시,,충청남도 천안시 동남구 신부동 811,,36.820091,127.15957,3,,,,,,,E17P002-16,E17P002-16_1_신부동 811(신부공원2)_PTZ,방범(도시공원),10M,KT
103,천안시,,충청남도 천안시 동남구 신부동 125,,36.823459,127.162422,1,,,,,,,E17P002-17,E17P002-17_1_신부동 125(도솔광장내)_PTZ,방범(도시공원),10M,KT
104,천안시,,충청남도 천안시 동남구 안서동 526-80,,36.8368,127.1729,4,,,,,,,E17P002-18,E17P002-18_1_안서동 526-80(치대방향-천호지공원)_PTZ,방범(도시공원),10M,KT
105,천안시,,충청남도 천안시 동남구 신부동 497-1,,36.819795,127.161831,4,,,,,,,E17P003-13,E17P003-13_1_신부동 497-1(신부1공원)_PTZ,방범(도시공원),10M,KT
106,천안시,,충청남도 천안시 동남구 신부동 673,,36.820953,127.161339,2,,,,,,,E17P003-16,E17P003-16_1_신부동 673(신부공원3)_PTZ,방범(도시공원),10M,KT
107,천안시,,충청남도 천안시 동남구 신부동 125,,36.824539,127.160428,3,,,,,,,E17P003-17,E17P003-17_1_신부동 125(도솔광장내)_PTZ,방범(도시공원),10M,KT
108,천안시,,충청남도 천안시 동남구 신부동 811,,36.82027,127.160106,3,,,,,,,E17P004-11,E17P004-11_1_신부동 811(신부공원)_PTZ,방범(도시공원),10M,LG
109,천안시,,충청남도 천안시 동남구 신부동 125,,36.824808,127.161942,4,,,,,,,E17P004-17,E17P004-17_1_신부동 125(도솔광장내)_PTZ,방범(도시공원),10M,KT
110,천안시,,충청남도 천안시 동남구 신부동 471-1,,36.817581,127.159804,3,,,,,,,E17P005-13,E17P005-13_1_신부동 471-1(신부3공원)_PTZ,방범(도시공원),10M,KT
111,천안시,,충청남도 천안시 동남구 신부동 125,,36.825666,127.161116,3,,,,,,,E17P005-17,E17P005-17_1_신부동 125(도솔광장내)_PTZ,방범(도시공원),10M,KT
112,천안시,,충청남도 천안시 동남구 신부동 228,,36.832694,127.166367,4,,,,,,,E17P006-12,E17P006-12_1_신부동 228(천호지체육2)_PTZ,방범(도시공원),10M,LG
113,천안시,,충청남도 천안시 동남구 신부동 125,,36.822953,127.161949,4,,,,,,,E17P006-17,E17P006-17_1_신부동 125(도솔광장내)_PTZ,방범(도시공원),10M,KT
114,천안시,,충청남도 천안시 동남구 신부동 228,,36.833371,127.172836,4,,,,,,,E17P007-12,E17P007-12_1_신부동 228(천호지공원)_PTZ,방범(도시공원),-,CCTV 자가망
115,천안시,,충청남도 천안시 동남구 신부동 125,,36.822431,127.162461,3,,,,,,,E17P007-17,E17P007-17_1_신부동 125(도솔광장내)_PTZ,방범(도시공원),10M,KT
116,천안시,,충청남도 천안시 동남구 신부동 125,,36.823491,127.163001,3,,,,,,,E17P008-17,E17P008-17_1_신부동 125(도솔광장내)_PTZ,방범(도시공원),10M,KT
117,천안시,,충청남도 천안시 동남구 신부동 888,,36.822514,127.150081,4,,,,,,,E17P009-13,E17P009-13_1_신부동 888(신부9공원)_PTZ,방범(도시공원),10M,KT
118,천안시,,충청남도 천안시 동남구 신부동 125,,36.82453,127.162723,4,,,,,,,E17P009-17,E17P009-17_1_신부동 125(도솔광장내)_PTZ,방범(도시공원),10M,KT
119,천안시,,충청남도 천안시 동남구 안서동 206-21,,36.829067,127.187506,4,,,,,,,E17P010-13,E17P010-13_1_안서동 206-21(안서3공원)_PTZ,방범(도시공원),-,CCTV 자가망
120,천안시,,충청남도 천안시 동남구 신부동 125,,36.824292,127.162275,4,,,,,,,E17P010-17,E17P010-17_1_신부동 125(도솔광장내)_PTZ,방범(도시공원),10M,KT
121,천안시,,충청남도 천안시 동남구 신부동 749,,36.821413,127.157268,3,,,,,,,E17P011-12,E17P011-12_1_신부동 749(신부7공원)_PTZ,방범(도시공원),10M,LG
122,천안시,,충청남도 천안시 동남구 신부동 670,,36.821741,127.160031,4,,,,,,,E17P013-13,E17P013-13_1_신부동 670(신부8공원검지1)_PTZ,방범(도시공원),10M,KT
123,천안시,,충청남도 천안시 동남구 신부동 542,,36.823756,127.155655,4,,,,,,,E17P014-13,E17P014-13_1_신부동 542(신부6공원)_PTZ,방범(도시공원),10M,KT
124,천안시,,충청남도 천안시 동남구 안서동 474-2,,36.835604,127.172281,2,,,,,,,E17P015-14,E17P015-14_1_안서동 474-2(천호지공원1)_PTZ,방범(도시공원),10M,KT
