사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018081200100326,2018년 8월 12일 17시,일요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,24세,경상,승용,남,49세,상해없음
2018081200100423,2018년 8월 12일 21시,일요일,충청남도 천안시 서북구 성환읍,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,자전거,남,74세,사망
2018081200100454,2018년 8월 12일 23시,일요일,충청남도 천안시 서북구 두정동,경상사고,0,0,5,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,승용,남,24세,경상
2018081300100015,2018년 8월 13일 01시,월요일,충청남도 천안시 서북구 성정동,중상사고,0,2,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,승용,남,62세,중상
2018081300100022,2018년 8월 13일 02시,월요일,충청남도 천안시 동남구 신방동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,승용,여,31세,중상
2018081300100057,2018년 8월 13일 06시,월요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,45세,상해없음,승용,남,57세,경상
2018081300100117,2018년 8월 13일 08시,월요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,26세,상해없음,자전거,남,69세,경상
2018081300100153,2018년 8월 13일 09시,월요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,여,29세,경상
2018081300100190,2018년 8월 13일 10시,월요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,승용,여,43세,경상
2018081300100295,2018년 8월 13일 13시,월요일,충청남도 천안시 서북구 성거읍,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,화물,남,56세,경상
2018081300100297,2018년 8월 13일 13시,월요일,충청남도 천안시 서북구 백석동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,59세,상해없음,승용,여,38세,경상
2018081300100376,2018년 8월 13일 15시,월요일,충청남도 천안시 동남구 신방동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,50세,상해없음,승용,여,32세,중상
2018081300100597,2018년 8월 13일 20시,월요일,충청남도 천안시 동남구 원성동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,보행자,여,61세,경상
2018081300100666,2018년 8월 13일 23시,월요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,42세,상해없음,이륜,남,38세,경상
2018081400100090,2018년 8월 14일 07시,화요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,보행자,남,24세,경상
2018081400100094,2018년 8월 14일 07시,화요일,충청남도 천안시 동남구 신방동,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,경상,이륜,남,72세,중상
2018081400100123,2018년 8월 14일 08시,화요일,충청남도 천안시 동남구 용곡동,중상사고,0,1,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,승용,남,45세,중상
2018081400100446,2018년 8월 14일 17시,화요일,충청남도 천안시 동남구 목천읍,중상사고,0,1,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,68세,경상,승용,남,50세,중상
2018081400100638,2018년 8월 14일 22시,화요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승합,남,63세,상해없음,승용,남,55세,경상
2018081400100657,2018년 8월 14일 23시,화요일,충청남도 천안시 서북구 성정동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,기타불명,승용,여,52세,경상
2018081400100658,2018년 8월 14일 23시,화요일,충청남도 천안시 동남구 대흥동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,58세,상해없음,보행자,남,31세,경상
2018081400100659,2018년 8월 14일 23시,화요일,충청남도 천안시 동남구 신부동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,26세,경상
2018081500100029,2018년 8월 15일 01시,수요일,충청남도 천안시 서북구 불당동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,남,62세,상해없음,승용,남,25세,경상
2018081500100129,2018년 8월 15일 08시,수요일,충청남도 천안시 동남구 신부동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 고가도로위,이륜,남,22세,경상,,,,
2018081500100142,2018년 8월 15일 09시,수요일,충청남도 천안시 서북구 불당동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,52세,상해없음,보행자,여,18세,중상
2018081500100165,2018년 8월 15일 10시,수요일,충청남도 천안시 서북구 불당동,경상사고,0,0,5,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,승합,남,59세,경상
2018081500100350,2018년 8월 15일 16시,수요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,원동기,남,59세,경상
2018081500100351,2018년 8월 15일 16시,수요일,충청남도 천안시 동남구 성남면,경상사고,0,0,1,0,차대차 - 측면충돌,과속,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승합,남,41세,경상
2018081500100412,2018년 8월 15일 18시,수요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,37세,상해없음,승용,여,71세,경상
2018081500100438,2018년 8월 15일 19시,수요일,충청남도 천안시 동남구 목천읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,51세,상해없음,화물,남,47세,기타불명
2018081500100461,2018년 8월 15일 20시,수요일,충청남도 천안시 동남구 신부동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,보행자,남,26세,경상
2018081500100462,2018년 8월 15일 20시,수요일,충청남도 천안시 동남구 동면,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,남,61세,중상
2018081600100029,2018년 8월 16일 02시,목요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,25세,상해없음,승용,남,30세,경상
2018081600100186,2018년 8월 16일 10시,목요일,충청남도 천안시 동남구 신부동,중상사고,0,1,2,0,차대차 - 정면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,19세,상해없음,승용,남,69세,경상
2018081600100570,2018년 8월 16일 20시,목요일,충청남도 천안시 서북구 입장면,경상사고,0,0,2,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,이륜,남,27세,경상
2018081600100656,2018년 8월 16일 23시,목요일,충청남도 천안시 서북구 성환읍,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,32세,중상,승용,남,23세,상해없음
2018081700100136,2018년 8월 17일 08시,금요일,충청남도 천안시 서북구 성환읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,34세,상해없음,이륜,남,71세,경상
2018081700100343,2018년 8월 17일 14시,금요일,충청남도 천안시 동남구 원성동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,23세,상해없음,승용,여,58세,중상
2018081700100579,2018년 8월 17일 19시,금요일,충청남도 천안시 서북구 성정동,중상사고,0,1,0,0,차대사람 - 횡단중,중앙선침범,건조,맑음,단일로 - 기타,이륜,남,22세,상해없음,보행자,남,25세,중상
2018081700100614,2018년 8월 17일 20시,금요일,충청남도 천안시 서북구 백석동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,59세,경상
2018081700100678,2018년 8월 17일 22시,금요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,승용,남,31세,경상
2018081700100679,2018년 8월 17일 22시,금요일,충청남도 천안시 서북구 백석동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,남,49세,경상
2018081800100070,2018년 8월 18일 04시,토요일,충청남도 천안시 동남구 구성동,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,18세,경상,,,,
2018081800100105,2018년 8월 18일 07시,토요일,충청남도 천안시 서북구 백석동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,29세,경상
2018081800100107,2018년 8월 18일 07시,토요일,충청남도 천안시 동남구 신방동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,30세,경상
2018081800100200,2018년 8월 18일 10시,토요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,여,63세,경상
2018081800100336,2018년 8월 18일 14시,토요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,여,64세,상해없음,승용,여,51세,경상
